Code,Type,At,Email-ID,Email-Backoffice-ID,Event-ID,From Folder,To Folder,Scrolled To,URL,Link Text
84,email-view,2024-01-12T13:42:31.341Z,fa7edad1-a03e-4d6e-b93f-a90184857f4a,Dein Kontoeinblick für November 2022 / Instagram Business,88725843-7906-41e1-a476-311fdea2fa16,,,,,
84,email-moved,2024-01-12T13:42:42.404Z,fa7edad1-a03e-4d6e-b93f-a90184857f4a,Dein Kontoeinblick für November 2022 / Instagram Business,dc001efc-7183-48d1-996e-401bb1799178,,No Phishing,,,
84,email-view,2024-01-12T13:42:43.078Z,66626179-03d8-4a32-be4e-2cdd29e27367,Der einfachste Weg\, um Strom zu sparen / E-Energy,d3eeb817-127e-45a7-b9dd-709dfa6a66db,,,,,
84,email-moved,2024-01-12T13:42:46.361Z,66626179-03d8-4a32-be4e-2cdd29e27367,Der einfachste Weg\, um Strom zu sparen / E-Energy,a2b03c76-4bbc-4c44-812b-5ce63d8018e2,,Phishing/Spam,,,
84,email-view,2024-01-12T13:42:46.938Z,7cdb98a8-c3dc-44be-a0bf-6d891d72f984,Der Gewinn kann in wenigen Monaten um das 10-fache gesteigert werden... / BTC Profit,de3eef8a-82d7-4e4c-8b8a-1ea789d831f0,,,,,
84,email-moved,2024-01-12T13:42:57.373Z,7cdb98a8-c3dc-44be-a0bf-6d891d72f984,Der Gewinn kann in wenigen Monaten um das 10-fache gesteigert werden... / BTC Profit,48948c8c-1054-4484-b0f8-58050cfff81f,,No Phishing,,,
84,email-view,2024-01-12T13:42:58.290Z,8233493d-6c2a-486f-a8c4-c127eeaa0a21,Haltungskorrektur der Wirbelsaule / BSP Corrector,974f1704-31ba-4c7e-b21e-23fb12871ed1,,,,,
84,email-moved,2024-01-12T13:43:00.706Z,8233493d-6c2a-486f-a8c4-c127eeaa0a21,Haltungskorrektur der Wirbelsaule / BSP Corrector,dd12a31e-fa22-49aa-ab66-0ae671d8617b,,No Phishing,,,
84,email-view,2024-01-12T13:43:08.358Z,88219594-b400-49d2-a46d-8deeb7a65338,Hondrox — ist das erste Mittel mit Teufelskrallenextrakte\, Arnika für die Wiederherstellung der Knorpel in den Gelenken / Hondrox,2a60b24f-5226-4484-b0ea-47897f6a76d2,,,,,
84,email-moved,2024-01-12T13:43:24.315Z,88219594-b400-49d2-a46d-8deeb7a65338,Hondrox — ist das erste Mittel mit Teufelskrallenextrakte\, Arnika für die Wiederherstellung der Knorpel in den Gelenken / Hondrox,fff7a979-14b3-4308-a1b0-d91babd236ed,,Phishing/Spam,,,
84,email-view,2024-01-12T13:43:24.887Z,e85dc0fa-c69b-47dc-88fb-85bf54b552b5,Verlagere die Beschaffung mit Guided Buying / Amazon Business,e1f259dd-4d67-4a29-abc2-7590e46f7065,,,,,
84,email-moved,2024-01-12T13:43:30.370Z,e85dc0fa-c69b-47dc-88fb-85bf54b552b5,Verlagere die Beschaffung mit Guided Buying / Amazon Business,7ca0e6b4-c3a4-4140-be09-b69bf0fcf993,,Phishing/Spam,,,
84,email-view,2024-01-12T13:43:30.960Z,481e84da-93e6-48aa-b49f-6f08e6efd9fb,Derzeit offene Rechnungen / Internetagentur WAS,d9a3b6a1-381b-4199-bcd7-30d9c0c1e38e,,,,,
84,email-moved,2024-01-12T13:43:37.348Z,481e84da-93e6-48aa-b49f-6f08e6efd9fb,Derzeit offene Rechnungen / Internetagentur WAS,6065be76-3c4c-4c28-b3ba-30187d95f892,,Phishing/Spam,,,
84,email-view,2024-01-12T13:43:37.898Z,343b9206-762e-472c-8488-0991369d6d18,Deutsche Instagram Follower Kaufen / Hallo von Followermonster,64dfa0f8-d33d-45b5-82a0-37699ad3a9e2,,,,,
84,email-moved,2024-01-12T13:43:43.632Z,343b9206-762e-472c-8488-0991369d6d18,Deutsche Instagram Follower Kaufen / Hallo von Followermonster,69e03eae-23b1-4614-b266-62bf7cde94a6,,Phishing/Spam,,,
84,email-view,2024-01-12T13:43:44.345Z,05c6a35f-7cc3-4511-a0b4-909298128873,Deutsche Social Media Reichweite Kaufen / Hallo von Fanheros,9d76fe11-156a-41e6-a531-71e383b2eb30,,,,,
84,email-moved,2024-01-12T13:43:48.415Z,05c6a35f-7cc3-4511-a0b4-909298128873,Deutsche Social Media Reichweite Kaufen / Hallo von Fanheros,25aaa544-59f2-4d6f-9837-5131c0ca6d5e,,Phishing/Spam,,,
84,email-view,2024-01-12T13:43:49.063Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,0793dafe-6f8f-4cb4-8d9a-36cd14cb3bd4,,,,,
84,email-link-hover,2024-01-12T13:43:50.532Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,9f0810f2-53da-42b6-9127-81fde7f992bb,,,,https://www.otorbake.shop/universal-payment-plus3/,
84,email-scrolled,2024-01-12T13:43:52.911Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,fc5d592c-aac3-4480-9ceb-d8617bc3078a,,,0,,
84,email-moved,2024-01-12T13:43:53.623Z,3274b92c-507b-4364-801d-ff82861d7db4,Die Karte ist sofort einsetzbar und besitzt einen hohen Kreditrahmen / Barbara Kaiser,c3fe8f49-0dc1-4c70-86c5-0f70b1d3a535,,No Phishing,,,
84,email-view,2024-01-12T13:43:54.234Z,23513990-6c1d-455b-a238-1b5335a3505f,Effektive Behandlung von Hämorrhoiden in jedem Stadium / Gelarex,a069d258-dc24-4878-921d-6e4a03779f92,,,,,
84,email-moved,2024-01-12T13:43:57.812Z,23513990-6c1d-455b-a238-1b5335a3505f,Effektive Behandlung von Hämorrhoiden in jedem Stadium / Gelarex,3b065eb1-988d-4953-bb1f-30a8095d31a1,,Phishing/Spam,,,
84,email-view,2024-01-12T13:43:59.493Z,da11f58b-746e-4857-a4f0-940696d26537,Ersteinzahlungsbonus +100 Freispiele / Freispiele,48a844b4-1d43-4e09-bec4-b8110d45bac7,,,,,
84,email-link-hover,2024-01-12T13:44:02.155Z,da11f58b-746e-4857-a4f0-940696d26537,Ersteinzahlungsbonus +100 Freispiele / Freispiele,28e85fb5-2bfb-499d-93cf-a8a919a29756,,,,https://www.momatyn.website/atraff1/,
84,email-moved,2024-01-12T13:44:07.472Z,da11f58b-746e-4857-a4f0-940696d26537,Ersteinzahlungsbonus +100 Freispiele / Freispiele,0e5ffa75-b2c3-41bd-aecb-501b1a5745ea,,Phishing/Spam,,,
84,email-view,2024-01-12T13:44:08.025Z,381d15d9-d865-4062-b3a6-86bcb869db74,Füge Personen hinzu\, um beim Geschäftseinkauf zusammenzuarbeiten / Amazon Business,1412e6f0-5117-4fed-93a5-70a6c924395d,,,,,
84,email-scrolled,2024-01-12T13:44:10.437Z,381d15d9-d865-4062-b3a6-86bcb869db74,Füge Personen hinzu\, um beim Geschäftseinkauf zusammenzuarbeiten / Amazon Business,7e088189-e508-4035-84b1-0ef72a9a9b28,,,0,,
84,email-moved,2024-01-12T13:44:12.454Z,381d15d9-d865-4062-b3a6-86bcb869db74,Füge Personen hinzu\, um beim Geschäftseinkauf zusammenzuarbeiten / Amazon Business,29831af1-9a66-4d7d-a20b-769301b6590f,,No Phishing,,,
84,email-view,2024-01-12T13:44:26.342Z,e7f13a7c-a045-4523-83b1-606d127fbeb1,Geschäftsgeschenke leichter gemacht – mit den Amazon Business Bestellbudgets / Amazon Business,39df1390-0768-4aae-ad48-70d22f54c4cb,,,,,
84,email-moved,2024-01-12T13:44:28.379Z,e7f13a7c-a045-4523-83b1-606d127fbeb1,Geschäftsgeschenke leichter gemacht – mit den Amazon Business Bestellbudgets / Amazon Business,bf10b1d4-eafd-4029-b503-ebd3a92f4a6b,,No Phishing,,,
84,email-view,2024-01-12T13:44:29.064Z,0a6bb7f1-6a18-4e8f-b0d1-5df400916b25,Gluconol – Doppelschlag auf den Diabetes / Gluconol,33b1ebe8-ce7d-4f6f-b75a-1c769e725334,,,,,
84,email-moved,2024-01-12T13:44:30.836Z,0a6bb7f1-6a18-4e8f-b0d1-5df400916b25,Gluconol – Doppelschlag auf den Diabetes / Gluconol,fb349eeb-92ea-4748-8979-a2043c28c8e5,,Phishing/Spam,,,
84,email-view,2024-01-12T13:44:31.472Z,7623cd16-7519-4e6b-9301-74dce1535004,Google-Bestätigungscode / Google,dfcf1ab9-f387-4c98-add3-588437d3097e,,,,,
84,email-moved,2024-01-12T13:44:34.516Z,7623cd16-7519-4e6b-9301-74dce1535004,Google-Bestätigungscode / Google,8de1f20d-9165-44ff-9453-6f1f8c86d7a0,,No Phishing,,,
84,email-view,2024-01-12T13:44:35.063Z,e79ef900-579f-499a-8963-cc389f2b4688,Grüße mein Lieber / Juliet Jonhson,98ddf5e5-8d2a-4ad1-b910-2abc8db2eb13,,,,,
84,email-moved,2024-01-12T13:44:37.614Z,e79ef900-579f-499a-8963-cc389f2b4688,Grüße mein Lieber / Juliet Jonhson,c24fdbaf-1881-424f-912c-61ce1d127125,,Phishing/Spam,,,
84,email-view,2024-01-12T13:44:38.780Z,cb82043a-1e7e-4972-8b58-34b8db966ec2,Hallo Lieber / elizabeth akah,e9c6d1a3-02df-413d-90ea-da9ec7a6eb6b,,,,,
84,email-moved,2024-01-12T13:44:43.370Z,cb82043a-1e7e-4972-8b58-34b8db966ec2,Hallo Lieber / elizabeth akah,63413b9c-67a4-442f-a666-f02fc83453b7,,Phishing/Spam,,,
84,email-moved,2024-01-12T13:44:44.484Z,3a21afa2-74f0-4f36-ab4b-05b78188848c,Ihr sofort genehmigter Kredit ist Ihr 3-faches monatliches Einkommen oder monatlicher Bruttoumsatz auf unserer Karte / Bernhard Eheim,5067d171-77ba-4bdc-8bb1-5166fb3b7c0d,,Phishing/Spam,,,
84,email-view,2024-01-12T13:44:45.182Z,e1916242-bfe3-4b1e-a856-7e2de32b79aa,keine Antwort. /,f645f450-8d60-4218-aa6f-249346f341f0,,,,,
84,email-moved,2024-01-12T13:44:50.893Z,e1916242-bfe3-4b1e-a856-7e2de32b79aa,keine Antwort. /,268babde-37bc-4a2b-b5d2-b20f9bdbd4a8,,Phishing/Spam,,,
84,email-view,2024-01-12T13:44:51.520Z,5bb888b1-f66e-46ff-a7d6-3865a52f004c,Levicose — nanotechnologien schützen die gesundheit und die schönheit der venen / Levicose,f614783a-2c63-4577-8597-d20d96b8d6df,,,,,
84,email-moved,2024-01-12T13:44:59.551Z,5bb888b1-f66e-46ff-a7d6-3865a52f004c,Levicose — nanotechnologien schützen die gesundheit und die schönheit der venen / Levicose,5a5a94b9-cfc9-4618-9a15-8d57d6ac0c55,,Phishing/Spam,,,
84,email-view,2024-01-12T13:45:04.701Z,16e36c78-a79d-40de-a779-c95384318f31,NVIDIA Jetson Orin PCN PCN210341/PCN210361 / Silicon Highway LTD,f382a401-ecb2-4650-b2be-8fdd0cc75f22,,,,,
84,email-moved,2024-01-12T13:45:06.997Z,16e36c78-a79d-40de-a779-c95384318f31,NVIDIA Jetson Orin PCN PCN210341/PCN210361 / Silicon Highway LTD,79ed290e-6d4f-4da5-99f3-070a13b991ee,,No Phishing,,,
84,email-view,2024-01-12T13:45:11.662Z,ddfa66da-dd17-4d55-9c01-67e534397db5,Besonderes Highlight: Tischfußballtisch für nur 399\,- statt 1199\,- / Sport und Spiel,debe4ae1-9090-4531-bad2-63094fdf57bf,,,,,
84,email-moved,2024-01-12T13:45:16.833Z,ddfa66da-dd17-4d55-9c01-67e534397db5,Besonderes Highlight: Tischfußballtisch für nur 399\,- statt 1199\,- / Sport und Spiel,80d7ee32-2d14-4b1e-a4fe-5fe7117c517d,,No Phishing,,,
84,email-view,2024-01-12T13:45:18.453Z,70e237f6-d2ec-42ff-9e80-bdbf21fcd451,🎄 Merry Christmas\, plus a service deadline announcement 🌲 / Felix from AISLER,85e215cc-b17c-4be7-9d34-0ddf0bb889e1,,,,,
84,email-scrolled,2024-01-12T13:45:21.108Z,70e237f6-d2ec-42ff-9e80-bdbf21fcd451,🎄 Merry Christmas\, plus a service deadline announcement 🌲 / Felix from AISLER,eb299b2b-673c-4c97-a39b-8ba861e8e3cb,,,1,,
84,email-scrolled,2024-01-12T13:45:22.334Z,70e237f6-d2ec-42ff-9e80-bdbf21fcd451,🎄 Merry Christmas\, plus a service deadline announcement 🌲 / Felix from AISLER,d6dc73ff-579f-4e4d-a715-8403c0585c6f,,,0,,
84,email-moved,2024-01-12T13:45:25.087Z,70e237f6-d2ec-42ff-9e80-bdbf21fcd451,🎄 Merry Christmas\, plus a service deadline announcement 🌲 / Felix from AISLER,c64c1295-6689-4dd8-a9a0-85dd8a9e1afe,,No Phishing,,,
84,email-view,2024-01-12T13:45:29.553Z,3c47ecd7-e0e2-4edc-97ea-c9c7f2b971ed,[Invitation] 2024 Event / Elementor,c62ca0b2-d4d1-41c4-9a91-3833176fc68d,,,,,
84,email-scrolled,2024-01-12T13:45:33.935Z,3c47ecd7-e0e2-4edc-97ea-c9c7f2b971ed,[Invitation] 2024 Event / Elementor,263676f4-b083-47c1-a67f-adfeaebd1ba9,,,0.04486251808972504,,
84,email-moved,2024-01-12T13:45:34.847Z,3c47ecd7-e0e2-4edc-97ea-c9c7f2b971ed,[Invitation] 2024 Event / Elementor,70b0c204-ea93-4ab3-b085-df9a6d1b3c5f,,No Phishing,,,
84,email-view,2024-01-12T13:45:35.858Z,a7fa9c03-210a-413d-8650-b06af0f4fa1e,„Höhle der Löwen“ System macht Deutsche Bürger reich! / „Höhle der Löwen“,033977e0-3f69-4a4c-b86a-cd5f1d60df13,,,,,
84,email-moved,2024-01-12T13:45:39.050Z,a7fa9c03-210a-413d-8650-b06af0f4fa1e,„Höhle der Löwen“ System macht Deutsche Bürger reich! / „Höhle der Löwen“,3a42e664-15a0-470e-a240-84ff56d9c8b1,,Phishing/Spam,,,
84,email-view,2024-01-12T13:45:39.969Z,18f177eb-fc10-4a26-8fe6-b76f70cbd98c,A Dramatic Leap in Performance / Elementor,5f22bd03-e7d8-40dd-abac-58615c194d92,,,,,
84,email-moved,2024-01-12T13:45:42.079Z,18f177eb-fc10-4a26-8fe6-b76f70cbd98c,A Dramatic Leap in Performance / Elementor,267daf30-f636-45e1-8bfd-3a8ce17af662,,Phishing/Spam,,,
84,email-view,2024-01-12T13:45:43.435Z,91ff4f92-ec70-4dc8-ab9f-9c1f835fdc29,Access to the mzh-team-luhbots group was granted | ProjGIT / Projekt GitLab,3ea913b5-ba51-4b43-a073-b55e5124c687,,,,,
